Edad,Hombres,Mujeres
0,111064,108390
1,122440,119071
2,133042,130477
3,137517,135707
4,141029,138267
5,143080,139415
6,134334,131649
7,138369,135157
8,148444,141303
9,135688,134363
10,156201,149528
11,141498,136882
12,152908,149237
13,145222,143202
14,144909,145673
15,151789,147933
16,143090,140465
17,154495,149849
18,162223,155203
19,136299,136034
20,158686,159007
21,130283,128571
22,146329,146070
23,135578,137155
24,134926,139239
25,146857,152673
26,131229,138492
27,130097,135667
28,140644,144469
29,119432,128629
30,159310,169276
31,97608,105901
32,131552,143997
33,114484,125365
34,112365,124028
35,133890,145453
36,120770,134886
37,104199,115286
38,132029,142540
39,106089,119761
40,148426,165767
41,83800,95474
42,129912,143803
43,107084,121952
44,94766,106684
45,132273,143839
46,102821,115697
47,102753,114756
48,108278,120782
49,96698,108540
50,127259,142602
51,72946,83050
52,102018,112576
53,85775,96305
54,85596,99439
55,85479,97404
56,85618,93166
57,64868,74319
58,73071,82814
59,65125,74235
60,86108,98345
61,47230,55020
62,62925,71562
63,58743,67978
64,52145,61363
65,61720,70588
66,40573,47247
67,40793,45754
68,45039,51951
69,33224,38740
70,40830,48347
71,23762,27493
72,34506,39564
73,27548,32511
74,25677,30828
75,25748,30328
76,21420,25277
77,16299,19309
78,19323,22794
79,14484,17682
80,16516,21549
81,9156,11130
82,11258,14791
83,9907,13404
84,9441,13389
85,8640,12125
86,6771,9752
87,5454,8175
88,4101,6397
89,3892,6035
90,3602,5895
91,1627,2559
92,1927,3319
93,1538,2675
94,1261,2561
95,956,1956
96,820,1403
97,565,1087
98,506,1035
99,273,696
100,424,1034
